book_id,goodreads_book_id,best_book_id,work_id,title,author,average_rating,ratings_count,genre,bag_of_words,,wordcloud
1,2767052,2767052,2792775,"The Hunger Games (The Hunger Games, #1) by Suzanne Collins",suzannecollins,4.34,4780653,fiction dystopia fantasy sciencefiction romance adventure action novel thriller suspense contemporary drama,suzannecollins fiction dystopia fantasy sciencefiction romance adventure action novel thriller suspense contemporary drama,,fiction dystopia fantasy sciencefiction romance adventure action novel thriller suspense contemporary drama
2,3,3,4640799,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1) by J.K. Rowling",jkrowling,4.44,4602479,fantasy fiction magic childrens adventure classics novel paranormal mystery contemporary,jkrowling fantasy fiction magic childrens adventure classics novel paranormal mystery contemporary,,
3,41865,41865,3212258,"Twilight (Twilight, #1) by Stephenie Meyer",stepheniemeyer,3.57,3866839,fantasy fiction paranormal contemporary horror novel sciencefiction drama youngadult,stepheniemeyer fantasy fiction paranormal contemporary horror novel sciencefiction drama youngadult,,
4,2657,2657,3275794,To Kill a Mockingbird by Harper Lee,harperlee,4.25,3198671,classics historicalfiction literature novel fiction drama history crime contemporary mystery,harperlee classics historicalfiction literature novel fiction drama history crime contemporary mystery,,
5,4671,4671,245494,The Great Gatsby by F. Scott Fitzgerald,fscottfitzgerald,3.89,2683664,classics fiction literature historicalfiction romance novel drama,fscottfitzgerald classics fiction literature historicalfiction romance novel drama,,
6,11870085,11870085,16827462,The Fault in Our Stars by John Green,johngreen,4.26,2346404,fiction romance contemporary drama novel humor,johngreen fiction romance contemporary drama novel humor,,
7,5907,5907,1540236,The Hobbit by J.R.R. Tolkien,jrrtolkien,4.25,2071616,fantasy classics fiction adventure childrens literature novel magic sciencefiction epic,jrrtolkien fantasy classics fiction adventure childrens literature novel magic sciencefiction epic,,
8,5107,5107,3036731,The Catcher in the Rye by J.D. Salinger,jdsalinger,3.79,2044241,classics fiction literature novel contemporary drama historicalfiction,jdsalinger classics fiction literature novel contemporary drama historicalfiction,,
9,960,960,3338963,"Angels & Demons  (Robert Langdon, #1) by Dan Brown",danbrown,3.85,2001311,fiction mystery thriller suspense adventure historicalfiction crime contemporary religion novel fantasy action history drama sciencefiction literature classics romance art modern,danbrown fiction mystery thriller suspense adventure historicalfiction crime contemporary religion novel fantasy action history drama sciencefiction literature classics romance art modern,,
10,1885,1885,3060926,Pride and Prejudice by Jane Austen,janeausten,4.24,2035490,classics fiction romance historicalfiction literature novel drama history,janeausten classics fiction romance historicalfiction literature novel drama history,,
11,77203,77203,3295919,The Kite Runner by Khaled Hosseini,khaledhosseini,4.26,1813044,fiction historicalfiction contemporary classics novel literature drama history modern,khaledhosseini fiction historicalfiction contemporary classics novel literature drama history modern,,
12,13335037,13335037,13155899,"Divergent (Divergent, #1) by Veronica Roth",veronicaroth,4.24,1903563,dystopia fiction fantasy sciencefiction romance adventure action novel thriller,veronicaroth dystopia fiction fantasy sciencefiction romance adventure action novel thriller,,
13,5470,5470,153313,1984 by George Orwell,georgeorwell,4.14,1956832,fiction sciencefiction dystopia classics literature novel fantasy philosophy horror,georgeorwell fiction sciencefiction dystopia classics literature novel fantasy philosophy horror,,
14,7613,7613,2207778,Animal Farm by George Orwell,georgeorwell,3.87,1881700,classics fiction dystopia fantasy literature sciencefiction novel philosophy historicalfiction history drama,georgeorwell classics fiction dystopia fantasy literature sciencefiction novel philosophy historicalfiction history drama,,
15,48855,48855,3532896,The Diary of a Young Girl by Anne Frank,annefrank,4.1,1972666,classics history biography nonfiction memoir historicalfiction literature childrens drama novel,annefrank classics history biography nonfiction memoir historicalfiction literature childrens drama novel,,
16,2429135,2429135,1708725,"The Girl with the Dragon Tattoo (Millennium, #1) by Stieg Larsson",stieglarsson,4.11,1808403,fiction mystery thriller crime suspense contemporary novel drama adventure action literature murder,stieglarsson fiction mystery thriller crime suspense contemporary novel drama adventure action literature murder,,
17,6148028,6148028,6171458,"Catching Fire (The Hunger Games, #2) by Suzanne Collins",suzannecollins,4.3,1831039,dystopia fantasy sciencefiction romance adventure action novel thriller suspense fiction contemporary,suzannecollins dystopia fantasy sciencefiction romance adventure action novel thriller suspense fiction contemporary,,
18,5,5,2402163,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3) by J.K. Rowling",jkrowling,4.53,1832823,fantasy fiction magic childrens adventure classics novel paranormal mystery contemporary,jkrowling fantasy fiction magic childrens adventure classics novel paranormal mystery contemporary,,
19,34,34,3204327,"The Fellowship of the Ring (The Lord of the Rings, #1) by J.R.R. Tolkien",jrrtolkien,4.34,1766803,fantasy classics fiction adventure magic novel literature epic sciencefiction,jrrtolkien fantasy classics fiction adventure magic novel literature epic sciencefiction,,
20,7260188,7260188,8812783,"Mockingjay (The Hunger Games, #3) by Suzanne Collins",suzannecollins,4.03,1719760,dystopia fiction fantasy sciencefiction romance adventure action novel thriller suspense,suzannecollins dystopia fiction fantasy sciencefiction romance adventure action novel thriller suspense,,
